% Model:              2d.mph
% Version:            COMSOL 5.4.0.225
% Date:               Jun 26 2019, 14:46
% Dimension:          2
% Nodes:              21311
% Expressions:        3
% Description:        Velocity field, r component, Velocity field, z component, Pressure
% Length unit:        m
% r                       z                        u (m/s)                  w (m/s)                  p (Pa)
0                         0.020200000000000003     0                        3.1232106934184456       0.9494229228133167
0                         0.020300000000000002     0                        3.0906477998603483       0.949381944839946
0                         0.0204                   0                        3.0551622603308255       0.9493416774588012
0                         0.0205                   0                        3.0191420293345113       0.949301540078896
0                         0.0206                   0                        2.983121798338197        0.949261402698991
0                         0.0207                   0                        2.9447107879097527       0.9492153366334344
0                         0.020800000000000003     5.3960545275933345E-18   2.9030342226751835       0.9491611726029783
0                         0.020900000000000002     0                        2.861357657440616        0.9491070085725222
0                         0.021                    0                        2.8196810922060487       0.9490528445420662
1.0E-4                    0                        5.33111151805807E-6      2.792706825208547        0.9999882107357876
1.0E-4                    1.0E-4                   -0.0013235307587956126   2.7943475727085367       0.9999853120992465
1.0E-4                    2.0E-4                   -0.001355441495798634    2.7961799821250892       0.9999796543406525
1.0E-4                    3.0000000000000003E-4    -0.0014532233460809354   2.798176182463646        0.9999733023337163
1.0E-4                    4.0E-4                   -0.003051864313699632    2.8026140368481234       0.9999573362653661
1.0E-4                    5.0E-4                   -0.0032149111671801855   2.808913854712308        0.9999417538347928
1.0E-4                    6.000000000000001E-4     -0.0032149111671801855   2.8154251441085028       0.9999262149756801
1.0E-4                    7.0E-4                   -0.004565221504636355    2.8235568640368793       0.9999139076223178
1.0E-4                    8.0E-4                   -0.005374509930648627    2.8333159298461323       0.9999013434699512
1.0E-4                    9.000000000000001E-4     -0.005374509930648627    2.8442940536408923       0.9998878411425594
1.0E-4                    0.001                    -0.006079985024556667    2.8560666694829164       0.9998742366345824
1.0E-4                    0.0011                   -0.007681540661234252    2.8693771309739224       0.9998604217779596
1.0E-4                    0.0012000000000000001    -0.007681540661234252    2.885044024146736        0.99984620499404
1.0E-4                    0.0013000000000000002    -0.007681540661234252    2.900710917319549        0.9998319882101204
1.0E-4                    0.0014                   -0.009574331634614155    2.918429876742479        0.9998179209223498
1.0E-4                    0.0015                   -0.010200798162063162    2.9382413908295337       0.9998035845356551
1.0E-4                    0.0016                   -0.010200798162063165    2.9589495619883355       0.999789121782642
1.0E-4                    0.0017000000000000001    -0.011299912891849805    2.9808385999961677       0.9997743883285072
1.0E-4                    0.0018000000000000002    -0.012935797655253378    3.004693020734501        0.9997592218417295
1.0E-4                    0.0019                   -0.012935797655253378    3.030876643878782        0.9997435729413712
1.0E-4                    0.002                    -0.013070880145714545    3.0572045923812294       0.9997278888327675
1.0E-4                    0.0021000000000000003    -0.015500398322292889    3.0859839707548504       0.9997116066965941
1.0E-4                    0.0022                   -0.01593532299672074     3.1175782361326574       0.9996947116877097
1.0E-4                    0.0023                   -0.01593532299672074     3.14978629264762         0.9996776830408367
1.0E-4                    0.0024000000000000002    -0.01761109060767159     3.183773423738482        0.999660133238961
1.0E-4                    0.0025                   -0.019272299196612993    3.220352483555774        0.9996419016695826
1.0E-4                    0.0026000000000000003    -0.019272299196612993    3.2592754972022218       0.9996231055649253
1.0E-4                    0.0027                   -0.019828673126956912    3.2987847849612346       0.9996041120894484
